"name","cas","dcb","code","pharmacy"
aroma frango liquido acabou,,,"9544",a
aroma frango po vet acabou,,,"12788",a
aroma frutas vermelhas,,,"2039",b
aroma groselha liquido,,,"1763",a
aroma hortela menta liq,,,"619",a
aroma laranja,,,"5528",b
aroma laranja  em po,,"10820","1768",a
aroma laranja liquido,,,"22811",a
aroma limao,,,"12763",b
aroma limao po,,,"41978",a
aroma liquido carne,,,"6316",c
aroma liquido morango,,,"4714",c
aroma maca e melaco acabou,,,"11491",a
aroma morango,,,"12758",b
aroma morango liquido,,,"7801",a
aroma morango po acabou,,,"1762",a
aroma peixe po acabou,,,"11236",a
aroma picanha po,,,"12208",a
aroma po  morango,,,"5555",c
aroma po cookies,,,"5543",c
aroma po frutas vermelhas,,,"10924",c
aroma po laranja,,,"8104",c
aroma po limao,,,"5560",c
aroma po uva,,,"11065",c
aroma queijo liq vet,,,"8346",a
aroma tangerina,,,"11789",b
aroma uva,,,"12760",b
arroz homeo,,,"12829",b
arsenicum album ho,,,"4656",c
arsenicum album homeo,,,"5985",b
arsenicum iodatum homeo,,,"3386",b
artemisia abrotanum homeo,,,"6309",b
artemisia absinthium tm,,,"6417",b
artemisia floral (mg),,,"6764",b
artemisia vulgaris homeo,,,"13378",b
artemisia vulgaris tm,,,"15046",b
arteria  homeo,,,"9664",b
arteria aorta homeo,,,"14396",b
arteria cerebral homeo,,,"7433",b
arteria coronaria homeo,,,"7442",b
arteria homeo,,,"7431",b
arteria oftalmica homeo,,,"7434",b
arteria pulmonar homeo,,,"14724",b
articulação atlas homeo,,,"13892",b
articulação coxo-femoral homeo,,,"9824",b
articulacao de cotovelo homeo,,,"14723",b
articulação de joelho homeo,,,"9823",b
articulacao de ombro homeo,,,"13712",b
articulação de ombro homeo,,,"12404",b
articulacao temporo mandibular,,,"14496",b
articulação total homeo,,,"9999",b
arum triphyllum homeo,,,"7372",b
arundo mauritanica homeo,,,"7942",b
asa foetida ho,,,"11003",c
asa foetida homeo,,,"5987",b
asclepias tuberosa homeo,,,"8390",b
asclepias vincetoxicum homeo,,,"14191",b
ascophylum nodosum,,,"11607",a
ascophylum nodosum,,,"8664",c
ascorbato calcio,"5743282","00106","1459",a
ascorbato de calcio,,,"80690",b
ascorbato de magnesio,,,"42316",b
ascorbosilane c,,,"69085",b
ascorbosilane c,,,"5604",c
ascorbosilane c acabou,,,"759",a
asebiol,,,"39032",b
asebiol,,,"747",a
asebiol (biotin),,,"8149",c
asferm plus,,,"14300",b
asiaticoside,,,"50842",b
asiaticoside 40%  11/07/2021,"16830152","00895","50842",a
asiaticosideo **,,"00895","6539",c
asparagus rac,,,"9277",c
aspartame,,,"50891",b
aspartame,"22839470","00900","50891",a
aspartato  monometionina zinco,,,"8922",b
aspartato arginina,"7675834","00868","7778",a
aspartato arginina,,,"50659",b
aspartato calcio acabou,"21059461","00109","4689",a
aspartato de calcio,,,"16068",b
aspartato de magnesio 30%,,,"6535",c
aspartato de potassio 20% **,"923091",,"6945",c
aspartato de zinco,,,"5304",b
aspartato magnesio,"1187913","00110","41270",a
aspartato magnesio,,,"41270",b
aspartato potassio,,,"41282",b
aspartato potassio,"923091",,"41282",a
aspen fl - bach,,,"22068",a
aspen floral (bach),,,"22068",b
aspen*,,,"4221",c
astaxantina,,,"6766",c
astaxantina,"472617",,"10227",a
astaxantina a 3%,,"3","9108",b
astragallus ext seco 70%,,,"77069",b
astragalus es,,,"6741",a
astragalus extrato 20% **,,,"6591",c
astrion (ideal farma),,,"13117",b
atenolol,,,"61281",b
atenolol,"29122687","00911","61281",a
atenolol **,,,"4035",c
atorvastatina,,,"1782",b
atorvastatina calcica,"344423989","11361","40984",a
"atorvastatina feq 1,08",,"00920","5500",c
atropa belladonna ho,,,"4657",c
atropinum homeo,,,"7373",b
atropinum sulfuricum homeo,,,"8431",b
auriculo direito homeo,,,"14876",b
auriculo esquerdo homeo,,,"14877",b
aurum,,,"3747",b
aurum arsenicosum homeo,,,"14629",b
aurum metalicum ho,,,"5961",c
aurum metallicum homeo,,,"7352",b
aurum muriaticum homeo,,,"7358",b
auxina tricogena,,,"6624",c
auxina tricogena,,,"814",a
auxina tricogena,,,"41130",b
aveia coloidal,,,"9530",b
aveia coloidal,"134134864",,"11411",a
aveia coloidal,,,"7104",c
aveia selvagem floral (sg),,,"7874",b
avena eyes,,,"2587",b
avena saccharum homeo,,,"7047",b
avena sativa ho,,,"4640",c
avena sativa homeo,,,"6666",b
avena sativa tm,,,"5076",b
avenolat,,,"1693",b
aviaria homeo,,,"8203",b
avocado sun,,,"12639",b
avocado sun sob enc,,,"12707",a
avosoy (phd),,,"13057",b
ayslim ext manga africana,,,"3282",b
azeite de oliva,,,"12209",b
azeloglicina,,,"5632",c
azeloglicina,,,"76200",b
azeloglicina,"477773674",,"5489",a
azitromicina,"117772700","00998","70774",b
azul de metileno p/uso veterin,,,"8664",a
azul de toluidina,,,"7072",c
azul de toluidina venceu,,,"7619",a
azul metileno,"61734",,"6496",c
azuleno,,,"3968",c
azuleno 25%,,,"50714",b
azuleno dil 1/10,,,"4841",b
b-caroteno,"7235407","01191","51070",a
b-caroteno,,,"51070",b
baby blue eyes floral (cal),,,"6915",b
baccharis trimera tm,,,"8334",b
bacharis trimera tm,,,"8573",b
bacillinum homeo,,,"6084",b
bacillus clausii,,,"10981",b
bacillus coagulans,,,"9971",c
baclofeno,,,"3303",b
baclofeno cp,,,"6540",a
baco homeo,,,"7437",b
bacoopa moniere es,,"10845","41771",a
bacopa monieri,,,"8889",c
bacopa monieri,,,"10016",b
bacopa monieri tm,,,"15009",b
badiana,,,"1731",b
baicapil,,,"14494",b
bala de colageno,,,"5529",b
bala de goma,,,"5497",b
bala de goma fagron,,,"8574",c
bala de goma priscila,,,"11079",c
bamboo exfoliator,,,"3849",b
bamboo silica uso interno,,,"12631",b
bambusa arundinacea homeo,,,"15078",b
bambusa floral (sg),,,"3512",b
banaba leaf,,,"62210",a
banaba leaf,,,"5671",b
